sample_length_mm,scanning_time_sec,stitching_time_sec
457.8,1119.59,134.9
136.5,496.02,33.55
223.2,605.94,55.1
279.3,782.1,60.08
306.6,753.43,56.61
520.8,890.28,98.21
1269.0,1448.87,241.8
693.6,1237.77,238.26
436.8,1022.42,159.2
281.4,767.42,88.56
304.5,759.04,74.74
210.6,553.47,55.43
185.4,409.74,59.27
1935.9,2148.57,397.41
472.5,1260.93,127.56
364.8,741.18,93.25
205.8,506.9,70.51
189.0,475.65,51.9
192.6,512.31,56.16
130.5,434.49,42.26
117.0,500.5,34.85
535.2,998.93,112.44
571.2,1110.64,110.21
447.3,866.98,112.26
1806.3,1859.27,411.67
420.0,960.87,101.32
501.9,841.62,126.56
511.2,827.62,152.43
501.6,928.35,98.98
281.4,661.92,75.91
312.9,678.7,85.76
254.1,676.54,72.37
281.4,682.02,79.01
138.0,559.77,36.79
129.0,530.73,36.84
300.3,807.32,65.91
196.2,658.5,51.31
457.8,977.47,115.85
436.8,1017.52,99.77
220.5,458.62,54.16
244.8,689.98,58.58
736.8,1074.03,139.72
531.3,997.07,130.59
499.8,1153.24,114.53
459.9,1025.08,97.5
1803.6,1956.16,288.85
445.2,848.52,98.59
363.3,731.77,79.48
159.0,554.55,46.31
141.0,509.61,44.03
338.4,1089.01,84.17
336.6,770.54,92.93
550.2,1012.53,162.36
585.9,1077.35,135.59
333.0,829.75,93.32
485.1,831.8,112.42
202.5,557.56,62.61
356.4,976.53,85.83
195.0,713.42,60.94
166.5,526.17,49.32
529.2,956.39,174.32
504.0,1061.1,124.69
708.0,1151.9,182.99
624.0,1018.49,117.31
365.4,783.55,168.07
361.2,907.45,154.98
292.8,498.21,53.24
441.6,706.31,75.78
234.0,593.56,57.68
449.4,1135.37,98.29
118.5,410.95,35.16
115.5,431.57,34.49
1323.0,1578.48,253.49
289.8,671.16,70.1
246.0,826.92,67.0
238.5,932.3,74.07
81.0,260.52,22.7
73.5,294.24,21.09
133.5,628.14,39.65
151.5,514.33,49.47
295.2,981.55,72.99
367.2,1093.8,83.96
386.4,799.87,64.81
453.6,805.78,81.4
705.6,1162.85,117.24
548.1,1018.82,102.61
546.0,1313.82,111.0
316.8,867.39,137.02
564.9,1191.03,151.85
357.0,721.7,75.21
232.2,687.87,59.77
181.8,495.0,50.82
285.6,496.69,72.81
367.5,923.36,74.62
367.5,834.47,116.01
361.2,803.34,121.19
388.5,841.24,141.22
151.5,507.07,49.32
302.4,589.11,62.93
514.5,1015.03,178.82
493.5,1098.66,99.53
219.6,565.44,54.03
112.5,502.74,50.01
243.0,731.95,79.97
247.5,805.22,85.21
156.0,459.87,46.01
157.5,662.36,47.4
139.5,559.08,43.54
136.5,554.91,42.43
111.0,422.1,33.36
108.0,476.39,32.21
396.9,839.83,101.99
413.7,955.63,116.69
118.5,523.32,37.97
111.0,471.91,33.84
578.4,981.52,101.7
559.2,1075.12,98.97
154.5,567.77,46.34
151.5,450.18,37.29
82.5,375.58,25.03
144.0,656.37,43.42
141.0,437.66,42.48
363.3,906.97,83.06
453.6,972.4,103.04
619.2,1009.61,108.04
427.2,698.69,77.56
57.0,277.92,17.54
118.5,486.49,37.2
139.5,469.14,44.99
132.0,492.45,40.2
88.5,349.17,26.99
87.0,369.92,27.14
130.5,510.78,46.28
165.0,602.04,50.38
154.5,516.84,56.47
193.5,662.38,82.29
235.8,443.33,85.42
464.1,1081.26,222.56
533.4,1000.18,195.38
562.8,1205.38,132.22
351.0,881.65,92.34
196.5,802.15,96.18
210.0,697.09,106.77
150.0,583.08,75.08
331.2,987.65,118.98
311.4,959.19,101.4
476.7,940.26,104.59
157.5,697.91,113.94
306.0,763.14,143.29
252.0,682.01,140.11
252.0,751.79,110.49
286.2,729.16,177.35
271.8,715.82,180.11
259.2,616.43,135.47
273.6,604.31,124.16
489.3,943.97,187.94
493.5,937.62,191.83
124.2,349.21,51.45
172.8,598.28,65.69
196.5,650.88,75.55
195.0,584.52,70.98
298.8,585.1,194.95
331.2,744.46,204.95
329.4,811.11,147.37
324.0,778.68,215.62
264.6,811.53,78.04
174.0,570.3,62.3
160.5,542.33,54.36
139.5,629.91,46.61
198.0,750.26,73.47
175.5,548.09,59.63
420.0,655.01,96.1
420.0,900.1,143.83
196.5,541.24,62.11
184.5,594.9,61.75
169.5,593.66,57.86
171.0,589.32,78.68
189.0,723.2,69.78
183.6,659.96,65.13
394.8,780.41,96.3
340.2,592.18,73.59
81.0,420.59,24.81
91.5,383.64,29.07
15450.0,530.23,60.31
16200.0,606.13,62.62
163.5,561.65,49.83
175.5,542.54,67.8
470.4,1190.02,140.8
284.4,706.55,92.68
248.4,663.71,86.8
203.4,608.24,79.48
171.0,464.77,71.15
183.0,713.13,70.3
184.5,767.72,56.68
177.0,567.96,56.2
547.2,953.13,104.3
342.3,786.09,92.16
193.5,690.78,64.13
189.0,580.94,72.62
392.7,770.8,104.84
369.6,754.6,97.0
293.4,875.87,86.62
289.8,855.99,101.01
145.8,429.36,39.33
149.4,382.47,39.48
225.0,707.37,63.77
199.5,610.86,60.31
239.4,633.81,84.93
190.5,554.47,89.18
211.5,789.78,83.3
207.0,675.52,82.64
183.6,520.98,131.78
120.0,446.59,117.05
151.2,706.45,36.21
192.6,598.07,58.04
172.8,458.25,61.89
194.4,509.77,78.8
309.6,913.15,171.22
457.8,1034.05,132.94
430.5,1041.83,148.61
357.0,865.82,119.33
338.4,839.2,90.42
193.5,608.48,64.23
457.8,846.06,149.24
485.1,1229.73,240.61
271.8,717.47,86.71
291.6,749.26,85.68
491.4,932.23,206.21
466.2,1026.8,156.35
187.5,702.88,81.48
184.5,564.19,64.27
202.5,581.49,71.43
202.5,655.55,74.8
426.3,884.41,92.09
459.9,981.44,111.46
189.0,542.13,93.48
193.5,647.11,86.96
169.5,479.0,53.08
156.0,455.27,51.64
396.9,750.21,96.37
407.4,985.06,92.04
445.2,840.53,130.26
417.9,932.16,93.89
159.0,569.77,56.68
190.5,544.37,68.3
160.5,544.06,54.74
204.0,654.05,70.7
443.1,999.59,111.86
455.7,902.51,113.84
141.0,444.71,50.73
159.0,613.93,60.3
443.1,1078.79,98.88
359.1,930.73,86.04
373.8,830.93,178.7
384.3,776.97,162.53
436.8,745.68,106.69
396.9,881.84,88.04
499.8,1131.96,105.25
426.3,1056.72,94.33
359.1,746.11,76.76
489.3,923.3,103.03
485.1,1173.86,243.13
422.1,923.33,171.4
